ticker,company,sector,financial_year,period_end,market_cap_cr,revenue_cr,gross_profit_cr,operating_income_cr,ebitda_cr,interest_expense_cr,net_profit_cr,total_assets_cr,total_liabilities_cr,total_equity_cr,current_assets_cr,current_liabilities_cr,inventory_cr,operating_cash_flow_cr,free_cash_flow_cr,capital_expenditure_cr
ADANIENT.NS,Adani Enterprises,Conglomerate,2022,2022-03-31,418452.07583807834,,,,,,,,,,,,,,,
ADANIENT.NS,Adani Enterprises,Conglomerate,2023,2023-03-31,418452.07583807834,127389.65,20618.0,6827.98,8677.43,3003.37,2463.98,141487.82,103597.77,33051.01,37282.28,44803.05,6918.05,17626.46,2901.74,-14724.72
ADANIENT.NS,Adani Enterprises,Conglomerate,2024,2024-03-31,418452.07583807834,96316.15,31148.84,9012.87,11686.52,3719.46,3240.78,160731.85,116545.56,39076.09,37026.9,44651.69,9486.86,10312.19,-12053.72,-22365.91
ADANIENT.NS,Adani Enterprises,Conglomerate,2025,2025-03-31,418452.07583807834,97711.08,32760.82,10443.09,19577.67,4887.6,7099.0,198135.54,141665.09,50313.97,40944.22,47383.15,10287.39,4513.1,-25366.04,-29879.14
ADANIENT.NS,Adani Enterprises,Conglomerate,2026,2026-03-31,418452.07583807834,100267.02,26200.93,8437.76,26052.91,6392.91,9339.47,261600.35,172422.1,80925.95,61176.04,58912.25,18712.98,2356.91,-31012.21,-33369.12
ADANIPORTS.NS,Adani Ports,Services,2022,2022-03-31,431808.0028973597,,,,,,,,,,,,,,,
ADANIPORTS.NS,Adani Ports,Services,2023,2023-03-31,431808.0028973597,20851.91,11790.15,9512.75,11468.66,2557.06,5308.85,114763.09,67846.11,45555.92,17596.39,12530.12,451.97,11899.5,2758.46,-9141.04
ADANIPORTS.NS,Adani Ports,Services,2024,2024-03-31,431808.0028973597,26710.56,15398.77,12153.2,16693.7,2711.51,8110.64,118917.87,64374.87,52944.77,17472.36,16462.94,437.51,15017.58,7601.28,-7416.3
ADANIPORTS.NS,Adani Ports,Services,2025,2025-03-31,431808.0028973597,30475.33,18384.38,14116.9,20095.23,2686.68,11092.31,135332.23,70358.89,62435.39,18944.12,20985.99,521.8,17226.28,9177.36,-8048.92
ADANIPORTS.NS,Adani Ports,Services,2026,2026-03-31,431808.0028973597,38735.77,23433.14,17450.82,24117.31,3751.37,12806.21,185314.76,86333.28,96125.3,21974.83,15760.35,685.0,20356.25,5035.94,-15320.31
APOLLOHOSP.NS,Apollo Hospitals,Healthcare,2022,2022-03-31,127874.88470295,,,,,,,,,,,,,,,
APOLLOHOSP.NS,Apollo Hospitals,Healthcare,2023,2023-03-31,127874.88470295,16444.8,7870.5,1449.2,2072.8,313.7,819.1,14427.8,7896.5,6197.4,4337.0,3324.9,390.1,1376.9,248.4,-1128.5
APOLLOHOSP.NS,Apollo Hospitals,Healthcare,2024,2024-03-31,127874.88470295,18862.3,9056.8,1707.3,2477.6,410.1,898.6,16753.1,9432.6,6935.4,5279.7,4664.5,459.8,1920.2,783.4,-1136.8
APOLLOHOSP.NS,Apollo Hospitals,Healthcare,2025,2025-03-31,127874.88470295,21794.0,10484.0,2264.3,3255.1,458.5,1445.9,20657.4,12004.5,8212.3,7028.9,4578.9,480.8,2136.4,423.7,-1712.7
APOLLOHOSP.NS,Apollo Hospitals,Healthcare,2026,2026-03-31,127874.88470295,25228.5,12152.9,2893.2,3986.6,449.6,1941.7,22196.9,12222.4,9480.1,6899.8,6481.3,542.4,2855.7,893.7,-1962.0
ASIANPAINT.NS,Asian Paints,Consumer Durables,2022,2022-03-31,262457.63976598036,,,,,,,,,,,,,,,
ASIANPAINT.NS,Asian Paints,Consumer Durables,2023,2023-03-31,262457.63976598036,34388.71,13142.42,5486.06,6691.3,144.45,4106.45,25798.0,9352.11,15992.23,16535.16,7895.93,6210.64,4193.43,2747.82,-1445.61
ASIANPAINT.NS,Asian Paints,Consumer Durables,2024,2024-03-31,262457.63976598036,35395.42,15221.12,6761.98,8405.94,205.17,5460.23,29924.09,10500.41,18728.3,17537.06,8500.96,5923.41,6103.6,3607.52,-2496.08
ASIANPAINT.NS,Asian Paints,Consumer Durables,2025,2025-03-31,262457.63976598036,33815.17,14222.81,4987.71,6356.43,227.02,3667.23,30371.37,10312.32,19399.81,16991.68,8141.23,6719.27,4423.96,2593.89,-1830.07
ASIANPAINT.NS,Asian Paints,Consumer Durables,2026,2026-03-31,262457.63976598036,35540.9,15421.41,5607.19,7427.7,195.41,4325.35,34534.49,12519.51,21371.59,20184.64,9137.03,5743.69,7088.18,5600.86,-1487.32
AXISBANK.NS,Axis Bank,Financial Services,2022,2022-03-31,417497.52509841684,,,,,,,,,,,,,,,
AXISBANK.NS,Axis Bank,Financial Services,2023,2023-03-31,417497.52509841684,62415.84,,,,43389.15,10818.45,1344417.96,1214242.86,129781.71,,,,22074.78,20685.36,-1389.42
AXISBANK.NS,Axis Bank,Financial Services,2024,2024-03-31,417497.52509841684,76603.04,,,,61390.74,26386.2,1518238.53,1360715.57,157023.52,,,,-5554.67,-7940.08,-2385.41
AXISBANK.NS,Axis Bank,Financial Services,2025,2025-03-31,417497.52509841684,84668.33,,,,71036.31,28055.11,1656962.61,1469091.99,187235.49,,,,44383.68,41938.14,-2445.54
AXISBANK.NS,Axis Bank,Financial Services,2026,2026-03-31,417497.52509841684,88067.31,,,,74074.99,26384.85,1946050.29,1730216.75,215035.35,,,,-8636.71,-10846.71,-2210.0
BAJAJ-AUTO.NS,Bajaj Auto,Automobile,2022,2022-03-31,273281.35432715,,,,,,,,,,,,,,,
BAJAJ-AUTO.NS,Bajaj Auto,Automobile,2023,2023-03-31,273281.35432715,35391.52,8733.77,6062.54,8167.34,39.51,6060.21,35136.45,5774.9,29361.54,9650.39,5270.74,1563.55,5277.42,4167.22,-1110.2
BAJAJ-AUTO.NS,Bajaj Auto,Automobile,2024,2024-03-31,273281.35432715,43782.08,11394.13,8271.3,10465.17,60.36,7708.24,39365.68,10403.26,28962.41,11847.01,9099.41,1688.75,6551.53,5828.69,-722.84
