ticker,company,sector,financial_year,revenue_cr,expenses_cr,operating_profit_cr,operating_margin_pct_reported,interest_cr,depreciation_cr,profit_before_tax_cr,tax_pct_reported,net_profit_cr,eps_rs,dividend_payout_pct,equity_capital_cr,reserves_cr,equity_cr,borrowings_cr,deposits_cr,other_liabilities_cr,total_liabilities_cr,fixed_assets_cr,cwip_cr,investments_cr,other_assets_cr,total_assets_cr,operating_cash_flow_cr,investing_cash_flow_cr,financing_cash_flow_cr,net_cash_flow_cr,free_cash_flow_cr
ADANIENT.NS,Adani Enterprises,Conglomerate,2015,64465.0,52015.0,12450.0,19.0,7056.0,3522.0,2663.0,14.0,2298.0,15.81,8.0,110.0,25618.0,25728.0,83571.0,,21420.0,130718.0,83834.0,6733.0,744.0,39407.0,130718.0,8532.0,-11465.0,3445.0,512.0,-621.0
ADANIENT.NS,Adani Enterprises,Conglomerate,2016,34008.0,32325.0,1684.0,5.0,1357.0,314.0,1056.0,7.0,1000.0,8.21,4.0,110.0,13268.0,13378.0,19169.0,,9132.0,41679.0,10473.0,7705.0,805.0,22696.0,41679.0,5112.0,-1825.0,-3448.0,-161.0,-778.0
ADANIENT.NS,Adani Enterprises,Conglomerate,2017,36533.0,34631.0,1902.0,5.0,1257.0,315.0,1079.0,25.0,925.0,8.02,4.0,110.0,14026.0,14136.0,20846.0,,12630.0,47611.0,13668.0,7731.0,1042.0,25170.0,47611.0,774.0,-1460.0,716.0,30.0,-3373.0
ADANIENT.NS,Adani Enterprises,Conglomerate,2018,35924.0,33886.0,2038.0,6.0,1250.0,664.0,487.0,23.0,594.0,6.15,6.0,110.0,14979.0,15089.0,17637.0,,23679.0,56405.0,10555.0,5526.0,1461.0,38864.0,56405.0,2942.0,-7649.0,5120.0,413.0,-4352.0
ADANIENT.NS,Adani Enterprises,Conglomerate,2019,40379.0,38409.0,1969.0,5.0,1625.0,390.0,459.0,32.0,506.0,5.82,6.0,110.0,14646.0,14756.0,11243.0,,16537.0,42536.0,9020.0,5765.0,1511.0,26240.0,42536.0,3236.0,2487.0,-6158.0,-436.0,1471.0
ADANIENT.NS,Adani Enterprises,Conglomerate,2020,43403.0,41108.0,2294.0,5.0,1572.0,472.0,1122.0,29.0,1040.0,9.24,10.0,110.0,16837.0,16947.0,12419.0,,17509.0,46875.0,10476.0,7347.0,1952.0,27099.0,46875.0,2454.0,-1082.0,-221.0,1151.0,-268.0
ADANIENT.NS,Adani Enterprises,Conglomerate,2021,39537.0,37031.0,2506.0,6.0,1377.0,537.0,1086.0,31.0,1046.0,7.49,12.0,110.0,17049.0,17159.0,16227.0,,18231.0,51617.0,10838.0,8825.0,5503.0,26451.0,51617.0,4043.0,-8611.0,3109.0,-1459.0,684.0
ADANIENT.NS,Adani Enterprises,Conglomerate,2022,69420.0,65707.0,3714.0,5.0,2526.0,1248.0,952.0,50.0,788.0,6.3,14.0,110.0,22147.0,22257.0,41604.0,,37726.0,101586.0,30123.0,23544.0,4292.0,43627.0,101586.0,1385.0,-17041.0,15901.0,246.0,-10260.0
ADANIENT.NS,Adani Enterprises,Conglomerate,2023,127540.0,118722.0,8818.0,7.0,3969.0,2436.0,3247.0,32.0,2422.0,19.3,6.0,114.0,32937.0,33051.0,53200.0,,55027.0,141278.0,56881.0,24025.0,6310.0,54062.0,141278.0,17626.0,-15459.0,-1198.0,970.0,2972.0
ADANIENT.NS,Adani Enterprises,Conglomerate,2024,96421.0,85044.0,11377.0,12.0,4555.0,3042.0,4926.0,33.0,3335.0,25.37,5.0,114.0,38962.0,39076.0,65310.0,,56200.0,160586.0,65978.0,35180.0,8701.0,50728.0,160586.0,10312.0,-18767.0,8879.0,424.0,-11934.0
ADANIENT.NS,Adani Enterprises,Conglomerate,2025,97895.0,83643.0,14252.0,15.0,5978.0,4211.0,10466.0,28.0,8005.0,55.02,2.0,115.0,50199.0,50314.0,91473.0,,56056.0,197843.0,77260.0,51516.0,9887.0,59180.0,197843.0,4513.0,-26417.0,22655.0,751.0,-25002.0
ADANIENT.NS,Adani Enterprises,Conglomerate,2026,100469.0,86478.0,13991.0,14.0,6019.0,6135.0,13525.0,28.0,9951.0,72.31,2.0,129.0,80797.0,80926.0,106622.0,,73321.0,260868.0,115174.0,51753.0,9428.0,84513.0,260868.0,2357.0,-27680.0,28484.0,3161.0,-30993.0
ADANIPORTS.NS,Adani Ports,Services,2015,6152.0,2250.0,3902.0,63.0,1175.0,912.0,2501.0,7.0,2324.0,11.18,10.0,414.0,10351.0,10765.0,17776.0,,3541.0,32082.0,20527.0,1276.0,260.0,10020.0,32082.0,3057.0,-2485.0,-237.0,335.0,1828.0
ADANIPORTS.NS,Adani Ports,Services,2016,7109.0,2532.0,4577.0,64.0,1124.0,1063.0,3119.0,9.0,2856.0,13.99,8.0,414.0,13091.0,13505.0,22342.0,,2538.0,38385.0,20883.0,1967.0,545.0,14990.0,38385.0,2381.0,-4153.0,2170.0,398.0,270.0
ADANIPORTS.NS,Adani Ports,Services,2017,8439.0,3021.0,5418.0,64.0,1116.0,1160.0,4179.0,7.0,3902.0,18.89,7.0,414.0,17112.0,17526.0,22214.0,,3629.0,43369.0,21054.0,4514.0,1161.0,16641.0,43369.0,4063.0,-2629.0,-1325.0,109.0,315.0
ADANIPORTS.NS,Adani Ports,Services,2018,11323.0,4166.0,7157.0,63.0,1579.0,1188.0,5234.0,30.0,3690.0,17.74,11.0,414.0,20489.0,20903.0,22370.0,,3960.0,47233.0,22670.0,4545.0,1079.0,18938.0,47233.0,5608.0,-3846.0,-1889.0,-127.0,2910.0
ADANIPORTS.NS,Adani Ports,Services,2019,10925.0,4330.0,6596.0,60.0,1385.0,1373.0,5126.0,21.0,4045.0,19.27,1.0,414.0,23958.0,24372.0,27712.0,,4228.0,56311.0,28121.0,4483.0,782.0,22924.0,56311.0,6029.0,-4368.0,2313.0,3975.0,3143.0
ADANIPORTS.NS,Adani Ports,Services,2020,11873.0,5926.0,5947.0,50.0,1951.0,1680.0,4244.0,11.0,3785.0,18.52,17.0,406.0,25051.0,25457.0,30242.0,,6217.0,61917.0,32715.0,3216.0,1178.0,24808.0,61917.0,7402.0,-749.0,-4256.0,2397.0,3843.0
ADANIPORTS.NS,Adani Ports,Services,2021,12550.0,3862.0,8688.0,69.0,2255.0,2107.0,6292.0,20.0,5049.0,24.58,20.0,406.0,30035.0,30441.0,35855.0,,8285.0,74582.0,48291.0,3697.0,2236.0,20358.0,74582.0,7556.0,-14064.0,3514.0,-2994.0,5208.0
ADANIPORTS.NS,Adani Ports,Services,2022,17119.0,7591.0,9528.0,56.0,2544.0,3099.0,5717.0,13.0,4953.0,23.13,22.0,422.0,41399.0,41821.0,47935.0,,8572.0,98328.0,62553.0,4023.0,3161.0,28591.0,98328.0,10420.0,-5493.0,-586.0,4341.0,6774.0
ADANIPORTS.NS,Adani Ports,Services,2023,20852.0,9905.0,10947.0,52.0,2363.0,3425.0,5487.0,2.0,5391.0,24.58,20.0,432.0,44957.0,45389.0,53434.0,,13740.0,112563.0,72224.0,6637.0,7432.0,26271.0,112563.0,11900.0,-16716.0,-2734.0,-7550.0,2962.0
ADANIPORTS.NS,Adani Ports,Services,2024,26711.0,11121.0,15589.0,58.0,2733.0,3888.0,9639.0,16.0,8104.0,37.55,16.0,432.0,52346.0,52778.0,49470.0,,14751.0,116999.0,75148.0,10936.0,4289.0,26627.0,116999.0,15018.0,-6947.0,-7800.0,271.0,7628.0
ADANIPORTS.NS,Adani Ports,Services,2025,30475.0,12054.0,18421.0,60.0,2813.0,4379.0,13030.0,15.0,11061.0,51.35,14.0,432.0,61837.0,62269.0,51621.0,,19553.0,133443.0,89616.0,11706.0,4659.0,27461.0,133443.0,17226.0,-9788.0,-6916.0,523.0,9228.0
ADANIPORTS.NS,Adani Ports,Services,2026,38736.0,15868.0,22868.0,59.0,4654.0,5517.0,14849.0,14.0,12782.0,55.58,13.0,461.0,95498.0,95959.0,63566.0,,23574.0,183099.0,131652.0,12689.0,5449.0,33308.0,183099.0,20356.0,-13191.0,-5483.0,1682.0,5074.0
APOLLOHOSP.NS,Apollo Hospitals,Healthcare,2015,5129.0,4392.0,737.0,14.0,118.0,212.0,455.0,29.0,335.0,24.43,24.0,70.0,3102.0,3172.0,1992.0,,1296.0,6459.0,3244.0,533.0,311.0,2372.0,6459.0,470.0,-759.0,392.0,103.0,-396.0
APOLLOHOSP.NS,Apollo Hospitals,Healthcare,2016,6150.0,5465.0,684.0,11.0,180.0,264.0,332.0,29.0,235.0,16.99,35.0,70.0,3262.0,3332.0,2834.0,,1195.0,7360.0,3997.0,562.0,352.0,2448.0,7360.0,597.0,-888.0,330.0,39.0,-393.0
APOLLOHOSP.NS,Apollo Hospitals,Healthcare,2017,7256.0,6522.0,734.0,10.0,257.0,314.0,222.0,41.0,131.0,15.88,38.0,70.0,3244.0,3314.0,3125.0,,1665.0,8103.0,4591.0,347.0,406.0,2759.0,8103.0,623.0,-1152.0,477.0,-52.0,-46.0
APOLLOHOSP.NS,Apollo Hospitals,Healthcare,2018,8243.0,7442.0,801.0,10.0,295.0,359.0,171.0,65.0,60.0,8.44,59.0,70.0,3182.0,3252.0,3427.0,,1917.0,8596.0,4773.0,712.0,352.0,2759.0,8596.0,537.0,-405.0,-108.0,24.0,-84.0
APOLLOHOSP.NS,Apollo Hospitals,Healthcare,2019,9617.0,8548.0,1070.0,11.0,327.0,396.0,373.0,47.0,200.0,16.96,35.0,70.0,3264.0,3334.0,3673.0,,2159.0,9166.0,4982.0,822.0,462.0,2901.0,9166.0,905.0,-711.0,-215.0,-20.0,233.0
